,prov,N_pop,N_coloc,cases,deaths,contact_rate,short_range_movement,mid_range_movement,Country
2020-12-22,Rohrbach,477.4254280551782,217.0,84.0,4.0,1.9344884775447453,1.6837047101003488,0.0,Austria
2020-12-29,Rohrbach,448.084431997966,179.0,133.0,5.0,1.8706612038129944,2.070838823784681,0.0,Austria
2021-01-05,Rohrbach,444.45003567229566,180.0,97.0,2.0,1.3648018592934634,2.120125467804758,0.0,Austria
2021-01-12,Rohrbach,454.9335559629131,194.0,100.0,1.0,1.6588771234784567,1.9692739844338691,0.0,Austria
2021-01-19,Rohrbach,475.8049462965378,178.0,75.0,2.0,1.5240698212830972,1.7540583407588948,0.0,Austria
2021-01-26,Rohrbach,464.2537125302079,192.0,41.0,0.0,1.424242987934205,1.799773377960247,0.0,Austria
2021-02-02,Rohrbach,469.1643655683924,194.0,40.0,1.0,1.2748026960424514,1.7727577730732855,0.0,Austria
2021-02-09,Rohrbach,461.8649280391729,180.0,60.0,0.0,1.5295054126970484,1.7762659271910364,0.0,Austria
2021-02-16,Rohrbach,457.2747644315394,182.0,79.0,1.0,1.3492268386533124,1.7687554959719465,0.0,Austria
2021-02-23,Rohrbach,458.955564100985,171.0,76.0,1.0,1.2298187344721252,1.718478716231805,0.0,Austria
2021-03-02,Rohrbach,477.22154775980727,164.0,64.0,0.0,1.5102868935510454,1.6049935012273282,0.0,Austria
2021-03-09,Rohrbach,468.44792278822536,163.0,93.0,0.0,1.1928247745733789,1.6632496179065186,0.0,Austria
2021-03-16,Rohrbach,468.9371200177824,175.0,99.0,1.0,1.3785614601809806,1.706400243754791,0.0,Austria
2021-03-23,Rohrbach,481.5995766526164,176.0,75.0,0.0,1.261568077326815,1.6567756588170244,0.0,Austria
2021-03-30,Rohrbach,468.3118359387701,155.0,44.0,0.0,1.7460389171736457,1.64510851427422,0.0,Austria
2021-04-06,Rohrbach,476.51613147624784,160.0,65.0,1.0,1.3793313771906797,1.7760513709870354,0.0,Austria
2021-04-13,Rohrbach,484.0200625848579,183.0,50.0,1.0,1.1929094636322757,1.6504775956237312,0.0,Austria
2021-04-20,Rohrbach,492.2594922363369,180.0,55.0,1.0,1.4464968763921564,1.6482035976381209,0.0,Austria
2021-04-27,Rohrbach,487.2747140506335,167.0,47.0,0.0,1.4184974493643967,1.6006623294182771,0.0,Austria
2021-05-04,Rohrbach,475.2965682793559,175.0,43.0,0.0,1.4640336608238802,1.65170175289448,0.0,Austria
2021-05-11,Rohrbach,476.4032638038731,165.0,22.0,0.0,1.2954986686739969,1.6000234080919078,0.0,Austria
2021-05-18,Rohrbach,481.0792038777424,156.0,18.0,0.0,1.3055404059350448,1.7036606412047934,0.0,Austria
2021-05-25,Rohrbach,496.6515760217981,162.0,3.0,0.0,1.4788210682363012,1.6092079146557683,0.0,Austria
2021-06-01,Rohrbach,489.6091858388088,170.0,7.0,0.0,1.7078131792093842,1.498293097598693,0.0,Austria
2021-06-08,Rohrbach,467.64101010552326,166.0,2.0,0.0,1.2680279004831114,1.6000962677584405,0.0,Austria
2021-06-15,Rohrbach,477.2822256866454,142.0,5.0,0.0,1.1938197816040863,1.4943056697167212,0.0,Austria
2021-06-22,Rohrbach,474.3867244053027,154.0,3.0,0.0,1.449017159990735,1.4580030427821788,0.0,Austria
2021-06-29,Rohrbach,484.0794008327953,147.0,4.0,0.0,1.6877333764286446,1.4844278293922908,0.0,Austria
2021-07-06,Rohrbach,485.0341807699618,134.0,1.0,0.0,1.5286774636173168,1.4847009072578048,0.0,Austria
2021-07-13,Rohrbach,476.6997853888419,126.0,1.0,0.0,1.9723086558465996,1.5166446474896111,0.0,Austria
2021-07-20,Rohrbach,453.1953715480812,131.0,0.0,0.0,1.1374534426372946,1.5864912667743325,0.0,Austria
2020-09-01,Rust (Stadt),84.46616271759872,12.0,0.0,0.0,8.807605545163502,1.014212838732614,0.0,Austria
2020-09-08,Rust (Stadt),76.10985504274016,14.0,2.0,0.0,3.988875260723801,1.0329199099280566,0.0,Austria
2020-09-15,Rust (Stadt),73.06561163968145,12.0,0.0,0.0,5.510613924731617,1.037423738732292,0.0,Austria
2020-09-22,Rust (Stadt),77.04290964515091,16.0,0.0,0.0,4.328757482086337,1.0812156548041654,0.0,Austria
2020-09-29,Rust (Stadt),65.13265370745896,19.0,0.0,0.0,6.258091326971479,1.1870511191044877,0.0,Austria
2020-10-06,Rust (Stadt),65.29096799284437,18.0,0.0,0.0,6.1379294897162495,1.088169179164346,0.0,Austria
2020-10-13,Rust (Stadt),62.29026102067261,15.0,0.0,0.0,4.455318663375585,1.1775988729943925,0.0,Austria
2020-10-20,Rust (Stadt),63.20596604285805,14.0,0.0,0.0,3.8914030436965312,1.1432964705537034,0.0,Austria
2020-10-27,Rust (Stadt),67.62002143677817,15.0,3.0,0.0,6.930735049438464,1.1357582912304267,0.0,Austria
2020-11-03,Rust (Stadt),61.52115936053887,15.0,10.0,0.0,7.145705621778581,1.101033251150192,0.0,Austria
2020-11-10,Rust (Stadt),56.11926885660233,20.0,9.0,0.0,4.063208306852705,1.1823033576852104,0.0,Austria
2020-11-17,Rust (Stadt),57.58037152234139,16.0,15.0,0.0,6.106696012589382,1.2099030420398686,0.0,Austria
2020-11-24,Rust (Stadt),57.74139508339319,18.0,9.0,0.0,3.775289217448247,1.252711910213906,0.0,Austria
2020-12-01,Rust (Stadt),59.88270505765994,16.0,2.0,0.0,4.982801232500252,1.2118929581011897,0.0,Austria
2020-12-08,Rust (Stadt),55.7134596315556,17.0,2.0,0.0,4.024764438496163,1.2812155779412926,0.0,Austria
2020-12-15,Rust (Stadt),53.18002863219286,11.0,0.0,0.0,5.433966299230758,1.19288202040564,0.0,Austria
2020-12-22,Rust (Stadt),50.06502505833365,13.0,1.0,0.0,4.12219547610417,1.233395967105809,0.0,Austria
2020-12-29,Rust (Stadt),49.387920361237526,12.0,1.0,0.0,4.51366699169009,1.3791046598627106,0.0,Austria
2021-01-05,Rust (Stadt),51.948282672961895,12.0,11.0,0.0,2.8262783126621334,1.3571189724178103,0.0,Austria
2021-01-12,Rust (Stadt),54.5772855471587,13.0,1.0,0.0,3.833156418071421,1.2843298707970878,0.0,Austria
2021-01-19,Rust (Stadt),53.214707457001786,12.0,0.0,0.0,2.733977297714368,1.3109515789083936,0.0,Austria
2021-01-26,Rust (Stadt),54.22536485904414,12.0,5.0,0.0,2.541627741493147,1.3207665417322207,0.0,Austria
2021-02-02,Rust (Stadt),55.68579758202875,18.0,2.0,0.0,4.259165240757442,1.2604735720464653,0.0,Austria
2021-02-09,Rust (Stadt),52.28490322447208,13.0,0.0,0.0,4.027813172240553,1.2957851276712211,0.0,Austria
2021-02-16,Rust (Stadt),52.46544995486881,15.0,1.0,0.0,3.7396220728966583,1.2808429177259697,0.0,Austria
2021-02-23,Rust (Stadt),48.55419981497594,0.0,0.0,0.0,-0.0177483189119748,1.2817695349692768,0.0,Austria
2021-03-02,Rust (Stadt),50.33895875230451,16.0,1.0,0.0,3.4516187338899087,1.216459291876865,0.0,Austria
2021-03-09,Rust (Stadt),54.63944747793477,12.0,2.0,0.0,5.28655856366603,1.217069408083874,0.0,Austria
2021-03-16,Rust (Stadt),54.411767864023744,14.0,0.0,0.0,3.67012946300687,1.253405332655858,0.0,Austria
2021-03-23,Rust (Stadt),53.520563996628965,14.0,0.0,0.0,4.202519721495873,1.2465168662738262,0.0,Austria
